"location.name","lat","long","date","commodity","unit","currency","quantity.total","quantity.mean","value.mean"
"Adana",NA,NA,1894-01-01,"oats","kg","gbp",18915727.1420315,18915727.1420315,55851
"Adana",NA,NA,1894-01-01,"wheat","kg","gbp",13303089.4059526,13303089.4059526,52372
"Alexandretta",NA,NA,1890-01-01,"cereals","kg","gbp",15184806.4746018,15184806.4746018,85752
"Alexandretta",NA,NA,1891-01-01,"cereals","kg","gbp",19808831.5174865,19808831.5174865,113004
"Alexandretta",NA,NA,1892-01-01,"cereals","kg","gbp",7227134.72424507,7227134.72424507,36211
"Alexandretta",NA,NA,1893-01-01,"cereals","kg","gbp",4864827.92909959,2432413.96454979,10357
"Alexandretta",NA,NA,1894-01-01,"cereals","kg","gbp",2075781.84192783,2075781.84192783,9891
"Beirut",33.88894,35.49442,1897-01-01,"barley","kg","gbp",8433181.247186,4216590.623593,16000
"Beirut",33.88894,35.49442,1898-01-01,"barley","kg","gbp",2133696.4601314,2133696.4601314,9475
"Beirut",33.88894,35.49442,1899-01-01,"barley","kg","gbp",4064183.73358362,4064183.73358362,15200
"Beirut",33.88894,35.49442,1900-01-01,"barley","kg","gbp",3556160.76688566,3556160.76688566,13000
"Damascus",33.5102,36.29128,1891-01-01,"flour","kg","gbp",6350293.48481409,6350293.48481409,53960
"Damascus",33.5102,36.29128,1892-01-01,"flour","kg","gbp",19050880.4544423,9525440.22722113,70000
"Damascus",33.5102,36.29128,1893-01-01,"cereals","kg","gbp",1270058.69696282,1270058.69696282,7600
"Damascus",33.5102,36.29128,1893-01-01,"flour","kg","gbp",12700586.9696282,12700586.9696282,72000
"Damascus",33.5102,36.29128,1894-01-01,"cereals","kg","gbp",952543.969379648,476271.984689824,7500
"Damascus",33.5102,36.29128,1894-01-01,"flour","kg","gbp",6350293.12919766,3175146.56459883,66000
"Damascus",33.5102,36.29128,1898-01-01,"barley","kg","gbp",91291.8140253455,91291.8140253455,8000
"Haifa",32.81841,34.9885,1892-01-01,"wheat","kg","gbp",636426.377408189,636426.377408189,70154
"Haifa",32.81841,34.9885,1893-01-01,"wheat","kg","gbp",353330.309708558,176665.154854279,12519
