date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1910-09-03,EF3ACD0C-ACA9-4FC5-A609-E17DCF3248E5,Barley is between Ps 19 and Ps 22,barley,1,kile,currency,19,ops,currency,22,ops,
1911-10-11,22ED22CE-05A0-4CF1-9EC9-679A3C633041,barley | 20 - 22,barley,1,kile,currency,20,ops,currency,22,ops,
1911-10-12,34F81615-2EFA-46EA-9511-190CA0EBD906,barley | 20 - 22,barley,1,kile,currency,20,ops,currency,22,ops,
1911-10-14,AA2292A1-13D8-4EE7-9A9A-50B8DD4163F7,barley | 20 - 22,barley,1,kile,currency,20,ops,currency,22,ops,
1911-10-16,3AE85F56-F497-475E-BAEC-84CC4F4ECE78,barley | 20 - 22,barley,1,kile,currency,20,ops,currency,22,ops,
1911-10-17,08B9A45F-576E-468B-AD49-1ACA70B66CD9,barley | 20 - 22,barley,1,kile,currency,20,ops,currency,22,ops,
1911-10-04,5E98630D-9E8C-4A39-B91E-4EAE86E93F59,barley | 20 - 28,barley,1,kile,currency,20,ops,currency,28,ops,
1911-10-05,47C8CA5B-F42E-487B-AC72-165738455A2A,barley | 20 - 28,barley,1,kile,currency,20,ops,currency,28,ops,
1911-05-30,D20CBE8A-693F-44F1-8221-F8E9C44D0117,barley | 21-22,barley,1,kile,curreny,21,ops,curreny,22,ops,
1911-06-01,411C8E5E-1465-4ED2-898E-01727788BF5E,barley | 21-22,barley,1,kile,curreny,21,ops,curreny,22,ops,
1911-06-14,F5A0EA65-772B-4908-AE3E-793757D59014,barley | 21- 22,barley,1,kile,curreny,21,ops,curreny,22,ops,
1911-06-20,BF80108A-6203-4FF7-8744-1E6AFC4CCE16,barley | 17-20,barley,1,kile,currency,17,ops,currency,20,ops,
1911-06-06,346BCE76-89F7-4644-AA58-DE58CD00D9DE,barley | 21- 22,barley,1,kile,curreny,21,ops,curreny,22,ops,
1911-07-26,1824327C-5D45-4C0D-9666-849D294CB0FB,barley sells at Ps 18 per kile,barley,1,kile,currency,18,ops,
1914-04-05,AF025C42-33E5-43C2-9355-DFBE20B89E8C,premium barley | 22,barley,1,kile,currency,22,ops,
1914-04-05,AF025C42-33E5-43C2-9355-DFBE20B89E8C,medium barley | 20,barley,1,kile,currency,20,ops,
1914-04-05,AF025C42-33E5-43C2-9355-DFBE20B89E8C,low quality barley | 18,barley,1,kile,currency,18,ops,
1915-02-12,A5214421-437F-4C50-8D01-AF7914B0BC5B,barley | 18 | 14,barley,1,kile,currency,18,ops,currency,14,ops,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,barley | 0"25 | 62;5,barley,1,kg,currency,0.63,ops,currency,0.625,frc,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,barley | 0"22 | 55,barley,1,kg,currency,0.55,ops,currency,0.55,frc,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,barley | 0"20 | 50,barley,1,kg,currency,0.5,ops,currency,0.5,frc,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,barley | 0"25 | 64;9375,barley,1,kg,currency,0.63,ops,currency,0.649375,frc,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,barley | 0"22 | 57;145,barley,1,kg,currency,0.55,ops,currency,0.57145,frc,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,barley | 0"20 | 51;90,barley,1,kg,currency,0.5,ops,currency,0.519,frc,
1917-01-01,F3689E71-0A2F-4168-B41F-239ACC5103BD,Gerste zum Preise von 33 Para pro kg,barley,1,kg,currency,0.825,ops,
1917-01-01,F3689E71-0A2F-4168-B41F-239ACC5103BD,Futterration von 2 ½ kg,ration,1,day,barley,2.5,kg,
1917-01-01,F3689E71-0A2F-4168-B41F-239ACC5103BD,6 kg Gerste,barley,6,kg,ration,1,day,
1917-05-01,BF8556BF-E1B4-473C-9A2F-3251244FEDD6,Gerste 3 Ps / kg,barley,1,kg,currency,3,ops,
1917-05-29,008BEBC6-662D-4D37-89EB-605167AB383D,Gerste 3 Ps / kg,barley,1,kg,currency,3,ops,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,5 ½ - 6 ¼ - 6 ½ Pi. Hart d. Kilo,barley,1,kg,currency,5.5,ops,currency,6.25,ops,currency,6.5,ops,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,Gerste 140,barley,1,kile,currency,140,ops,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,Gerste 240,barley,1,kile,currency,240,ops,
1918-05-06,6CE06AF0-64FD-4C7F-9D7B-81A34074A9DF,1 Piaster Hartgeld gleich 1 kg Weizen bzw. 2 kg Gerste,wheat,1,kg,barley,1,kg,currency,1,ops,
1918-08-29,898142FB-328A-473A-9C30-668101AFE7FF,5 Piaster für Gerste,barley,1,kg,currency,5,ops,
