date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1914-10-16,96E665E4-704F-48FF-BBE5-220720EA214A,baladi flour: Ps 3"10,flour,0.9999999999999999,kg,currency,1.266617041260537,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour; soft | wazana | | 60,flour,1,kg,currency,1.8706959378617167,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour; soft | raṭl | 5 |,flour,0.9999999999999999,kg,currency,1.948641601939288,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour; poultry | wazana | | 59"10,flour,1,kg,currency,1.8473122386384453,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour; poultry | raṭl | 5 |,flour,0.9999999999999999,kg,currency,1.948641601939288,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour; second class | wazana | | 55"10,flour,1,kg,currency,1.7225991761143309,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour; second class | raṭl | 4"25 |,flour,0.9999999999999999,kg,currency,1.8044421233957806,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour of lupine | wazana | | 51"10,flour,1,kg,currency,1.5978861135902163,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,flour of lupine | raṭl | 4"15 |,flour,0.9999999999999999,kg,currency,1.7070100432988162,ops,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,al-ṭaḥīn al-mafrūq | wazana | | 49"20,flour,1,kg,currency,1.5433241487359162,ops,
1915-05-15,FCFA7DC1-252F-4A8E-B517-351ADD5D5EE7,the soft variety (*al-nāʾima al-ʿāl*) | 55,flour,1,kg,currency,1.7148046097065737,ops,
1915-05-15,FCFA7DC1-252F-4A8E-B517-351ADD5D5EE7,the poultry variety (*al-farkha al-ʿāl*) | 54,flour,1,kg,currency,1.683626344075545,ops,
1915-05-15,FCFA7DC1-252F-4A8E-B517-351ADD5D5EE7,second grade | 49,flour,1,kg,currency,1.527735015920402,ops,
1915-05-15,FCFA7DC1-252F-4A8E-B517-351ADD5D5EE7,crushed / flour of lupine (*al-diqāq*) | 44,flour,1,kg,currency,1.371843687765259,ops,
1915-07-31,BD075ACF-87C2-4663-891C-4DC1868C197C,the soft variety (*al-nāʾima al-ʿāl*) | 49,flour,1,kg,currency,1.527735015920402,ops,
1915-07-31,BD075ACF-87C2-4663-891C-4DC1868C197C,the poultry variety (*al-farkha al-ʿāl*) | 48,flour,1,kg,currency,1.4965567502893733,ops,
1915-07-31,BD075ACF-87C2-4663-891C-4DC1868C197C,second grade | 43,flour,1,kg,currency,1.3406654221342302,ops,
1915-07-31,BD075ACF-87C2-4663-891C-4DC1868C197C,crushed / flour of lupine (*al-diqāq*) | 37,flour,1,kg,currency,1.1535958283480585,ops,
