date, location, source, tag
1911-10-16,Dimashq,3AE85F56-F497-475E-BAEC-84CC4F4ECE78,prices: falling
1898-10-03,Bayrūt,3AF85803-C49F-49C2-AE45-5ACC4D22261B,prices: high
1898-10-03,Bayrūt,3AF85803-C49F-49C2-AE45-5ACC4D22261B,prices: falling
1910-08-13,Dimashq,3C780E30-E47E-4CAA-95AB-8525441F659C,prices: high
1885-10-29,Dimashq,3C832E75-6EA2-46FE-A7D7-2C7751489A22,prices: rising
1859-12-22,Bayrūt,3DF039F4-EC79-4C3D-ADA7-F92B9278E470,prices: falling
1901-09-20,Bayrūt,3E1EEBAB-2BEA-410E-9EBC-0CC9E3BBB966,prices: rising
1878-05-13,Bayrūt,3EED1AF4-DF36-4481-AD6C-44C8B9C2D41C,prices: falling
1917,Jerusalem,3F7097C1-4062-4720-88A1-25B34EA0F4C8,prices: rising
1917,Jerusalem,3F7097C1-4062-4720-88A1-25B34EA0F4C8,prices: high
1878-06-27,Bayrūt,4075D218-B4C6-42F8-A160-20BD9B79FD7C,prices: falling
1910-06-25,Dimashq,40F19A62-D95C-4506-B4CB-D4B7DA0492BC,prices: falling
1910-06-25,Dimashq,40F19A62-D95C-4506-B4CB-D4B7DA0492BC,prices: high
1910-06-25,Dimashq,40F19A62-D95C-4506-B4CB-D4B7DA0492BC,prices: rising
1900-02-10,Damascus,4104FCA2-AAA1-4AC6-952B-D513E9C710B8,prices: rising
1908-07-27,Bayrūt,41228200-575D-41F0-A9BC-8BA2DBB1FE8B,prices: falling
1891-04-27,Bayrūt,413CF367-5709-4396-98BF-18AD92A65A08,prices: rising
1880-08-03,Damascus,417410E8-FDC9-4450-9990-6CCA7EF3000E,prices: falling
1880-08-03,Damascus,417410E8-FDC9-4450-9990-6CCA7EF3000E,prices: low
1909-04-01,Damascus,41CD1B38-A74E-4196-AA4A-F94BB31F5BC6,prices: rising
1909-04-01,Damascus,41CD1B38-A74E-4196-AA4A-F94BB31F5BC6,prices: high
1907-09-30,Bayrūt,41ECC5F3-FA66-40AE-A9F6-86116C60E8E6,prices: high
1879-03-21,Bayrūt,437F0C6C-715A-4780-A730-1FDDD9C63512,prices: falling
1878-01-25,Bayrūt,437FB426-C4B9-4336-AB07-20F5D9ED37AE,prices: falling
1900-11-26,Bayrūt,45059572-1527-4F6F-9106-DA42FA44F08D,prices: high
1883-12-10,Bayrūt,473068A4-500E-47CC-8412-6B1EBECC0535,prices: low
1908-04-13,Bayrūt,48502A20-48B4-4A5A-948E-112D80CE0908,prices: high
1908-04-13,Bayrūt,48502A20-48B4-4A5A-948E-112D80CE0908,prices: rising
1914-12-04,Bayrūt,4DDA0E92-2E47-4F5E-A5D9-3C19F9315C19,prices: rising
1914-12-04,Bayrūt,4DDA0E92-2E47-4F5E-A5D9-3C19F9315C19,prices: high
1910-08-05,al-Quds,4E1E54FF-71B7-43A6-A0B0-F1A08E9598CC,prices: high
1901-11-22,Bayrūt,4EF5AD02-C386-47B5-80B2-45BE4DC34ED7,prices: high
1900-08-13,Bayrūt,4F069533-C45A-4382-A699-3235A82502A3,prices: high
1884-12-15,Bayrūt,4F5A9428-7F6D-4B08-9069-FBA145C8ED4C,prices: rising
1900-11-29,Dimashq,50B9E2C4-D5F6-40EA-ABBA-2CBC36B7218D,prices: low
1910-07-18,Bayrūt,541FF446-F14C-423E-A7E0-DD2BCC656F95,prices: falling
1910-07-18,Bayrūt,541FF446-F14C-423E-A7E0-DD2BCC656F95,prices: high
1883-09-29,Damascus,54226C02-7A7F-4F29-A998-13403CF5209E,prices: low
1905,London,544984B3-E3C6-48B9-AA4E-5E3A0A33B659,prices: normal
1904-07-13,Bayrūt,56272B3A-DA13-4DE2-9D18-292F604225AB,prices: rising
1882-03-09,Bayrūt,594B424D-913E-4CB6-852C-3B08151ACBDE,prices: falling
1894,London,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,prices: high
1894,London,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,prices: rising
1888-04-12,Bayrūt,5C8F6F01-035E-4EB1-9AAC-B75F3592B9EE,prices: high
1888-04-12,Bayrūt,5C8F6F01-035E-4EB1-9AAC-B75F3592B9EE,prices: rising
1904-02-04,Damascus,5D43DD9E-069B-4252-B3EF-BCA1103073FD,prices: high
1904-02-04,Damascus,5D43DD9E-069B-4252-B3EF-BCA1103073FD,prices: rising
1899-11-01,Damascus,5E947A02-612A-4C1B-9606-284582F3FBDD,prices: rising
1901-12-02,Bayrūt,5F6A7691-7BBB-459E-B221-AE2D2304F180,prices: high
1876-02-24,Bayrūt,615AE820-9A03-4428-A956-FC52EDAE6739,prices: falling
1906-10-08,Bayrūt,61AFC8BB-9EF1-4CB4-A9E1-B4221B3500DB,prices: high
1906-10-08,Bayrūt,61AFC8BB-9EF1-4CB4-A9E1-B4221B3500DB,prices: rising
1910-08-14,Dimashq,62F17599-10BC-49FA-849D-346E0B16B4F2,prices: high
1910-08-18,Bayrūt,63F063FC-C6F1-400C-A26D-11120B2C445E,prices: high
1906-05-21,Bayrūt,64141CA1-A33C-419B-819D-FA45D5C94B2F,prices: falling
1900-07-12,Damascus,6421359C-30A2-4809-BB8D-382E09CE83DB,prices: low
1900-07-12,Damascus,6421359C-30A2-4809-BB8D-382E09CE83DB,prices: falling
1900-07-12,Damascus,6421359C-30A2-4809-BB8D-382E09CE83DB,prices: high
1909-01-14,Bayrūt,6438AC30-F5F3-4759-B41B-B12C9DF5E919,prices: high
1880,London,64766D99-EACA-4CDD-ADB5-BE0750C74B5D,prices: rising
1880-01-02,Bayrūt,64A41DF3-5C6F-47B3-BC82-172910BCEE94,prices: high
1878-06-24,Bayrūt,65328C7C-8E54-482B-9217-416ED0553D85,prices: falling
1886-10-01,Beirut,6626031E-37B1-474F-804B-276ACCBC01F4,prices: falling
1889-03-18,Bayrūt,6675B067-20FB-454C-96DD-F36F642D0965,prices: falling
1901-12-07,Bayrūt,669BA627-F23C-4D25-97FD-3B86D2DCA1BD,prices: rising
1879-04-15,Bayrūt,66F285EE-853B-4C72-92D3-F777D1DCAC1E,prices: falling
1913-04-01,Dimashq,67ECC509-ACC4-4D59-8002-D9FA9553CE23,prices: high
