date, duration, location.name, source, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2, 
1898,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"millet | qr | 10500 | gbp | 8235",millet,133356.15571315077,kg,currency,8235,gbp,
1897,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"millet | qr | 16988 | gbp | 14864",millet,215757.55935761955,kg,currency,14864,gbp,
1898,P1Y,Latakia,A85C3773-BED0-4F10-A05B-BA718961F238,"cereals | ton | 3941 | gbp | 23645.4",cereals,4.0042370235132575E6,kg,currency,23645.4,gbp,
1898,P1Y,Tripoli,A85C3773-BED0-4F10-A05B-BA718961F238,"wheat | ton | 1250 | |",wheat,1.2700574167448801E6,kg,
1898,P1Y,Tripoli,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | ton | 5000 | |",barley,5.080229666979521E6,kg,
1898,P1Y,Tripoli,A85C3773-BED0-4F10-A05B-BA718961F238,"maize | ton | 750 | |",maize,762034.450046928,kg,
1897,P1Y,Beirut,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"barley | ton | 4150 | gbp | 16000",barley,4.216590623593002E6,kg,currency,16000,gbp,
1897,P1Y,Haifa,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"wheat | qr | 36062 | gbp | 54093",wheat,458008.5416502517,kg,currency,54093,gbp,
1897,P1Y,Haifa,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"barley | qr | 1705 | gbp | 1065",barley,21654.499570564007,kg,currency,1065,gbp,
1897,P1Y,Tripoli,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"wheat | ton | 4500 | gbp | 25000",wheat,4.572206700281568E6,kg,currency,25000,gbp,
1897,P1Y,Tripoli,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"barley | ton | 14755 | gbp | 50020",barley,1.4991757747256564E7,kg,currency,50020,gbp,
1896,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"wheat | qr | 1091 | gbp | 1920",wheat,13856.339607909285,kg,currency,1920,gbp,
1895,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"wheat | qr | 4970 | gbp | 3560",wheat,63121.9137042247,kg,currency,3560,gbp,
1896,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"maize | qr | 20850 | gbp | 14178",maize,264807.22348754224,kg,currency,14178,gbp,
1895,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"maize | qr | 4726 | gbp | 3200",maize,60022.970657176236,kg,currency,3200,gbp,
1896,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"barley | qr | 1000 | gbp | 635",barley,12700.586258395311,kg,currency,635,gbp,
1895,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"barley | qr | 650 | gbp | 360",barley,8255.381067956952,kg,currency,360,gbp,
1895,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"wheat | qr | 4970 | gbp | 3560",wheat,63121.9137042247,kg,currency,3560,gbp,
1894,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"maize | qr | 2356 | gbp | 2000",maize,29922.581224779355,kg,currency,2000,gbp,
1895,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"maize | qr | 4726 | gbp | 3200",maize,60022.970657176236,kg,currency,3200,gbp,
1895,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"barley | qr | 650 | gbp | 360",barley,8255.381067956952,kg,currency,360,gbp,
